Name,Term,ES,NES,NOM p-val,FDR q-val,FWER p-val,Tag %,Gene %,Lead_genes
prerank,mTORC1 Signaling,0.2572475656685192,1.0493653945811532,0.37550607287449395,0.7804929164221645,1.0,37/200,12.70%,BUB1;PLK1;RRM2;AURKA;CCNF;SLC7A11;DDX39A;G6PD;MCM4;CCT6A;CDC25A;MCM2;ACLY;STIP1;CACYBP;TUBG1;PSPH;YKT6;EPRS1;GLA;NUPR1;SQLE;ABCF2;TXNRD1;SERPINH1;RRP9;PPIA;BCAT1;PSMC4;TOMM40;ALDOA;FKBP2;PSME3;RIT1;HSPA4;COPS5;GMPS
prerank,Angiogenesis,0.31255484267879746,1.0474068557687897,0.42080378250591016,0.7229440858412274,1.0,15/35,37.14%,SPP1;PDGFA;LPL;JAG2;MSX1;PTK2;VCAN;STC1;SLCO2A1;COL5A2;POSTN;ITGAV;JAG1;CCND2;OLR1
prerank,Epithelial Mesenchymal Transition,0.2521546939824403,1.0256472547415136,0.45334685598377283,0.7466710085957298,1.0,49/198,20.98%,THY1;CTHRC1;CAP2;SPOCK1;DKK1;EDIL3;LOXL2;SPP1;COL4A1;MCM7;MATN3;COL7A1;LAMC1;PLOD3;COL4A2;SLC6A8;SFRP4;TPM2;MSX1;PRRX1;SCG2;NTM;APLP1;ITGA2;LAMA3;COMP;FAP;SERPINH1;PDGFRB;MMP14;LOX;COL1A1;P3H1;COL11A1;SPARC;MMP1;COLGALT1;PTHLH;VCAN;CAPG;PPIB;ADAM12;CDH11;CRLF1;COL1A2;FOXC2;COL5A3;FBLN1;COPA
prerank,UV Response Up,0.24764021189032048,0.9880813768496556,0.5163934426229508,0.8131803647773135,1.0,39/155,18.00%,CCNE1;RFC4;FEN1;COL2A1;MAPK8IP2;CTSV;POLG2;PRPF3;STIP1;SLC6A8;H2AX;MSX1;YKT6;ATP6V1C1;AGO2;CHKA;PARP2;BSG;SHOX2;CDKN2B;ALDOA;E2F5;BAK1;CLCN2;MMP14;STK25;TYRO3;CHRNA5;CYB5R1;ATP6V1F;WIZ;TFRC;KCNH2;HNRNPU;SQSTM1;GLS;FMO1;RXRB;NXF1
prerank,KRAS Signaling Dn,0.24452116255494658,0.9668161665376938,0.5705458290422245,0.8261910749713585,1.0,45/145,28.76%,COL2A1;RIBC2;MSH5;GPR19;ADRA2C;TLX1;SLC30A3;IDUA;AKR1B10;DLK2;EGF;HTR1D;SMPX;BARD1;NRIP2;SHOX2;NR6A1;KCNN1;MAST3;CAPN9;PLAG1;MFSD6;ITGB1BP2;TAS2R4;GP2;DCC;NPHS1;YBX2;KLHDC8A;SLC6A14;CACNG1;PTGFR;CDH16;RYR2;DTNB;GTF3C5;COQ8A;VPS50;FGF22;MTHFR;PDCD1;CDKAL1;CALCB;PNMT;LYPD3
prerank,Myogenesis,0.23590520183951016,0.957165761457233,0.6034658511722731,0.8018143809204459,1.0,49/180,24.03%,COL15A1;NQO1;PTP4A3;CDH13;ACTN2;COL4A2;SLC6A8;TPM2;MAPK12;SPTAN1;ATP6AP1;PDLIM7;DAPK2;MYH4;TNNC1;GJA5;TPM3;STC2;DTNA;ATP2A1;TNNT1;PPFIA4;SH2B1;RIT1;CKB;COL1A1;SPHK1;MYL6B;TCAP;SPARC;TNNI2;KCNH2;ERBB3;ITGB4;MEF2D;HDAC5;ADAM12;MRAS;DMPK;CACNG1;AGRN;FDPS;TSC2;BDKRB2;MYH1;CASQ2;ACTA1;SYNGR2;PSEN2
prerank,Pancreas Beta Cells,0.29363279921278457,0.92198274628788,0.5866188769414575,0.8452880523489469,1.0,14/28,37.78%,CHGA;PAX6;SCGN;DCX;ABCC8;SRP14;PAK3;SRP9;SRPRB;PCSK1;VDR;STXBP1;GCK;PDX1
prerank,Unfolded Protein Response,0.22263692897887893,0.8613785637045361,0.7445255474452555,0.9335722469053007,1.0,42/113,34.81%,CKS1B;H2AX;NHP2;FUS;LSM4;WFS1;STC2;ARFGAP1;TATDN2;RRP9;GOSR2;NOP56;SHC1;NPM1;IARS1;EXOSC9;DKC1;NFYA;CNOT6;EXOSC4;BANF1;EXOSC5;SSR1;YWHAZ;XPOT;POP4;ZBTB17;SLC1A4;CXXC1;KDELR3;EXOSC1;EIF4A3;PREB;ASNS;HSPA5;FKBP14;SRPRB;DDX10;KHSRP;HYOU1;CALR;EXOSC2
prerank,Hedgehog Signaling,0.2422843802160016,0.7968762357905772,0.7866666666666666,0.9943878473953347,1.0,5/35,8.65%,THY1;SCG2;NRCAM;HEY1;CDK5R1
prerank,p53 Pathway,0.18810274580469508,0.7640221818010919,0.916241062308478,0.9854723782379077,1.0,34/194,17.51%,CDKN2A;SLC7A11;SFN;ABCC5;IRAK1;CDH13;PVT1;PDGFA;JAG2;RAD9A;PCNA;NUPR1;ALOX15B;CDK5R1;CDKN2B;BAX;S100A10;PIDD1;RHBDF2;H2AW;FGF13;HRAS;BAK1;IP6K2;ABHD4;RAD51C;SPHK1;PTPN14;TPRKB;ADA;H1-2;ITGB4;WRAP73;KRT17
