Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,direction,n_hits
gs_ind_0,Interleukin-12 Family Signaling R-HSA-447115,2/51,0.7962854745683785,0.9999999999810132,0.8334436063693705,0.18985638745756175,IL10;GSTA2,down in tumor,2
gs_ind_0,Interleukin-12 Signaling R-HSA-9020591,2/42,0.7001410136182262,0.9999999999810132,1.019094388817824,0.36328016012221553,IL10;GSTA2,down in tumor,2
gs_ind_0,Interleukin-2 Family Signaling R-HSA-451927,1/35,0.8723553677415807,0.9999999999810132,0.7174344204335753,0.09797170106335613,IL2RB,down in tumor,1
gs_ind_0,Intra-Golgi And Retrograde Golgi-to-ER Traffic R-HSA-6811442,3/177,0.997968917044643,0.9999999999810132,0.32926017123673634,0.0006694347908424194,KIF19;MAN1C1;MAN1A1,down in tumor,3
gs_ind_0,Intracellular Signaling By Second Messengers R-HSA-9006925,14/284,0.7511782585840046,0.9999999999810132,0.8836030656507099,0.2528096998813768,JUN;IL33;NR4A1;PDGFRA;PRKAR2B;CAMK4;ESR1;IL1RL1;CAMK2B;NRG1;FLT3;EGR1;IL1RAP;FOXO1,down in tumor,14
gs_ind_0,Defective CFTR Causes Cystic Fibrosis R-HSA-5678895,1/58,0.9670600706048398,0.9999999999810132,0.42998465067347325,0.014402191775328149,ERLIN1,down in tumor,1
gs_ind_0,Signaling By Hedgehog R-HSA-5358351,3/131,0.982040884299319,0.9999999999810132,0.4481231903213788,0.008121039825775722,GAS1;HHIP;PRKAR2B,down in tumor,3
gs_ind_0,Signaling By Insulin Receptor R-HSA-74752,1/60,0.9707222292984568,0.9999999999810132,0.41549138497128324,0.012346292537836347,FLT3,down in tumor,1
gs_ind_0,Signaling By MET R-HSA-6806834,1/61,0.9723977883823565,0.9999999999810132,0.4086040892863582,0.011436955507859756,HGFAC,down in tumor,1
gs_ind_0,Signaling By NOTCH R-HSA-157118,6/187,0.959376227483934,0.9999999999810132,0.5891049081013239,0.024431340336488305,ST3GAL6;JUN;DTX1;MYC;PTCRA;NCOR1,down in tumor,6
gs_ind_0,Signaling By NOTCH1 R-HSA-1980143,3/73,0.7942676926350268,0.9999999999810132,0.8190799020560895,0.18866254823495732,MYC;NCOR1;DTX1,down in tumor,3
gs_ind_0,Signaling By NOTCH3 R-HSA-9012852,1/47,0.9370272320844677,0.9999999999810132,0.5319829560722191,0.03460173235890292,PTCRA,down in tumor,1
gs_ind_0,Signaling By NTRK2 (TRKB) R-HSA-9006115,1/22,0.725697866903064,0.9999999999810132,1.1519515142569856,0.36934043632897817,NTF3,down in tumor,1
gs_ind_0,Defective Intrinsic Pathway For Apoptosis R-HSA-9734009,1/23,0.741369078838332,0.9999999999810132,1.1007007801137114,0.32939207828439127,JUN,down in tumor,1
gs_ind_0,Degradation Of Beta-Catenin By Destruction Complex R-HSA-195253,1/82,0.9919981445047311,0.9999999999810132,0.3030129732334282,0.002434419001364342,MYC,down in tumor,1
gs_ind_0,Detoxification Of Reactive Oxygen Species R-HSA-3299685,1/32,0.8477041267082741,0.9999999999810132,0.7858748418050282,0.12984507935837947,GLYAT,down in tumor,1
gs_ind_0,DAP12 Signaling R-HSA-2424491,1/26,0.7832160737702707,0.9999999999810132,0.9710665702219008,0.23727687770957465,KLRD1,down in tumor,1
gs_ind_0,DARPP-32 Events R-HSA-180024,1/22,0.725697866903064,0.9999999999810132,1.1519515142569856,0.36934043632897817,PRKAR2B,down in tumor,1
gs_ind_0,DNA Double Strand Break Response R-HSA-5693606,1/53,0.9557754543948557,0.9999999999810132,0.471048903496345,0.0213066130041884,EYA2,down in tumor,1
gs_ind_0,DNA Double-Strand Break Repair R-HSA-5693532,1/138,0.9997071841450763,0.9999999999810132,0.17911939706465688,5.2456679833541994e-05,EYA2,down in tumor,1
gs_ind_0,DNA Repair R-HSA-73894,1/291,0.9999999667125512,0.9999999999810132,0.08415437690013183,2.801284558762458e-09,EYA2,down in tumor,1
gs_ind_0,Signaling By ROBO Receptors R-HSA-376176,3/203,0.9994398218993823,0.9999999999810132,0.2862024517569802,0.0001603692676880652,CXCL12;GSPT2;LHX2,down in tumor,3
gs_ind_0,Signaling By Rho GTPases R-HSA-194315,19/609,0.9990747420556312,0.9999999999810132,0.5380268060522321,0.0004980440217249142,TJP2;ARHGAP10;FERMT2;S100A8;PRKCB;RND1;STEAP3;KLKB1;EGR2;SLITRK3;DLC1;SYDE2;TAGAP;RHOB;FAM13A;ARHGEF26;ARHGAP20;EPHA2;RND3,down in tumor,19
gs_ind_0,"Signaling By Rho GTPases, Miro GTPases And RHOBTB3 R-HSA-9716542",19/625,0.9994402472470695,0.9999999999810132,0.5234191629579621,0.0002930673476838455,TJP2;ARHGAP10;FERMT2;S100A8;PRKCB;RND1;STEAP3;KLKB1;EGR2;SLITRK3;DLC1;SYDE2;TAGAP;RHOB;FAM13A;ARHGEF26;ARHGAP20;EPHA2;RND3,down in tumor,19
gs_ind_0,Signaling By SCF-KIT R-HSA-1433557,1/41,0.9103399106939656,0.9999999999810132,0.6109715427446487,0.05739296882355123,SOCS6,down in tumor,1
gs_ind_0,Signaling By TGF-beta Receptor Complex R-HSA-170834,3/89,0.8895203284565627,0.9999999999810132,0.667059371992991,0.0780945873824301,SERPINE1;MYC;NCOR1,down in tumor,3
gs_ind_0,Deactivation Of Beta-Catenin Transactivating Complex R-HSA-3769402,1/40,0.9049024378610455,0.9999999999810132,0.6264693034208848,0.06260191511582275,SOX6,down in tumor,1
gs_ind_0,Death Receptor Signaling R-HSA-73887,4/136,0.9552360907329857,0.9999999999810132,0.559101241606962,0.025605021814365206,SMPD3;ARHGEF26;MAG;NGFR,down in tumor,4
gs_ind_0,KEAP1-NFE2L2 Pathway R-HSA-9755511,3/96,0.9170458234747487,0.9999999999810132,0.6169108883124167,0.053423148488100244,HMOX1;MYC;PHGDH,down in tumor,3
gs_ind_0,Kinesins R-HSA-983189,1/40,0.9049024378610455,0.9999999999810132,0.6264693034208848,0.06260191511582275,KIF19,down in tumor,1
gs_ind_0,PI3K Cascade R-HSA-109704,1/32,0.8477041267082741,0.9999999999810132,0.7858748418050282,0.12984507935837947,FLT3,down in tumor,1
gs_ind_0,PIP3 Activates AKT Signaling R-HSA-1257604,11/249,0.8470427461813771,0.9999999999810132,0.7941418820312546,0.1318308225798393,JUN;IL33;NR4A1;PDGFRA;ESR1;IL1RL1;NRG1;FLT3;EGR1;IL1RAP;FOXO1,down in tumor,11
gs_ind_0,PTEN Regulation R-HSA-6807070,2/135,0.9967745921523574,0.9999999999810132,0.3077807167400416,0.000994322750737229,JUN;EGR1,down in tumor,2
gs_ind_0,Late Endosomal Microautophagy R-HSA-9615710,1/29,0.8182966329960668,0.9999999999810132,0.8687237729388922,0.17420550490572487,PLIN2,down in tumor,1
gs_ind_0,Late SARS-CoV-2 Infection Events R-HSA-9772573,1/57,0.9650607805120742,0.9999999999810132,0.43761606049011315,0.015563462752867702,MOGAT2,down in tumor,1
gs_ind_0,Loss Of Nlp From Mitotic Centrosomes R-HSA-380259,1/69,0.9827754531792059,0.9999999999810132,0.3607449251108209,0.00626780420942943,PRKAR2B,down in tumor,1
gs_ind_0,M Phase R-HSA-68886,3/356,0.9999998193660341,0.9999999999810132,0.16112612453140426,2.9104853512234395e-08,PRKCB;PRKAR2B;LPIN2,down in tumor,3
gs_ind_0,Cooperation Of PDCL (PhLP1) And TRiC/CCT In G-protein Beta Folding R-HSA-6814122,1/31,0.8384720770870424,0.9999999999810132,0.8116802465844285,0.1429969551956452,GNA14,down in tumor,1
