Gene_set,Term,Overlap,P-value,Adjusted P-value,Odds Ratio,Combined Score,Genes,direction,n_hits
gs_ind_0,Impaired BRCA2 Binding To PALB2 R-HSA-9709603,9/24,7.786934946469042e-05,0.0022661977344211187,6.773057514992999,64.07636257869041,BLM;EXO1;RAD51;BRCA2;ARTN;RMI2;XRCC2;BRIP1;RAD51AP1,up in tumor,9
gs_ind_0,Cyclin A/B1/B2 Associated Events During G2/M Transition R-HSA-69273,9/24,7.786934946469042e-05,0.0022661977344211187,6.773057514992999,64.07636257869041,FOXM1;CCNA2;CCNB1;CDC25C;CCNB2;PKMYT1;PLK1;CDC25A;CDK1,up in tumor,9
gs_ind_0,HDR Thru Homologous Recombination (HRR) Or Single Strand Annealing (SSA) R-HSA-5693567,21/103,9.998000027331395e-05,0.002836932507755283,2.8892969263950303,26.611986037083337,CCNA2;EME1;CHEK1;EXO1;H2BC9;BLM;H2BC15;H2BC17;RMI2;XRCC3;BRCA2;ARTN;XRCC2;CLSPN;POLD1;RAD51;RFC4;BRIP1;H2BC11;H2AX;RAD51AP1,up in tumor,21
gs_ind_0,DNA Replication Pre-Initiation R-HSA-69002,22/111,0.00010729984203430505,0.002970373675827713,2.7877586506160306,25.47978895965512,CDC45;H2BC9;MCM6;H2BC15;H2BC17;GMNN;ORC6;MCM3;POLA2;MCM5;PRIM2;CDT1;MCM8;CDC6;MCM10;MCM4;MCM7;UBE2C;CDC7;UBE2S;H2BC11;H2AX,up in tumor,22
gs_ind_0,Defective HDR Thru Homologous Recombination (HRR) Due To BRCA1 Loss-Of-Function R-HSA-9701192,9/25,0.00011270752194324403,0.0029749543582693484,6.362254816800271,57.83744145463064,BLM;EXO1;RAD51;BRCA2;ARTN;RMI2;XRCC2;BRIP1;RAD51AP1,up in tumor,9
gs_ind_0,Homologous DNA Pairing And Strand Exchange R-HSA-5693579,12/42,0.00011169919262537908,0.0029749543582693484,4.533076023077234,41.24963678281872,BLM;CHEK1;EXO1;XRCC3;RAD51;BRCA2;RFC4;ARTN;RMI2;XRCC2;BRIP1;RAD51AP1,up in tumor,12
gs_ind_0,Assembly Of Collagen Fibrils And Other Multimeric Structures R-HSA-2022090,14/55,0.00012239515097579962,0.003157238553580286,3.866711301818278,34.83232453040571,COL2A1;COL8A1;LOX;LAMA4;COL9A1;COL24A1;CTSV;COL11A1;COL15A1;LOXL2;COL4A1;ITGA6;COL7A1;COL4A2,up in tumor,14
gs_ind_0,G2/M DNA Replication Checkpoint R-HSA-69478,4/5,0.000223853034529546,0.005646070982022994,33.08494418731282,278.06310216096796,PKMYT1;CDK1;CCNB1;CCNB2,up in tumor,4
gs_ind_0,Olfactory Signaling Pathway R-HSA-381753,7/17,0.0002527172196615823,0.006235522702519476,7.886750555144338,65.32784296147553,EBF1;ANO2;OR51E2;GNAL;OR2B6;OR51E1;OR2I1P,up in tumor,7
gs_ind_0,Reproduction R-HSA-1474165,17/81,0.00031025341201224184,0.007492289843274351,3.004136350786353,24.2677773516684,PRDM9;BLM;PSMC3IP;MSH5;H2BC15;H2BC17;H2BC9;ADAM21;SMC1B;MSH4;ZP3;RAD51;BRCA2;ARTN;KCNU1;H2BC11;H2AX,up in tumor,17
gs_ind_0,G2/M DNA Damage Checkpoint R-HSA-69473,15/68,0.0003918843707620289,0.009266432516977141,3.2061194346959097,25.15054412264521,BLM;CCNB1;CDC25C;H2BC15;CHEK1;EXO1;H2BC9;H2BC17;RFC4;ARTN;RMI2;BRIP1;CDK1;H2BC11;H2AX,up in tumor,15
gs_ind_0,Degradation Of Extracellular Matrix R-HSA-1474228,19/98,0.0004130543651100998,0.009567687844897211,2.7168309344879558,21.169360101248007,CAPN9;MMP11;CTSV;MMP10;BCAN;MMP24;ADAM15;ACAN;ADAMTS16;ERC2;MMP1;MMP12;LAMC1;LAMA4;CAPN8;COL9A1;COL15A1;CAPN11;ADAMTS18,up in tumor,19
gs_ind_0,DNA Double-Strand Break Repair R-HSA-5693532,24/138,0.0004300575374244534,0.00976230609953509,2.372441123760002,18.390194568437593,CCNA2;EME1;CHEK1;EXO1;H2BC9;BLM;H2BC15;H2BC17;FEN1;RMI2;XRCC3;BRCA2;ARTN;EYA1;XRCC2;KPNA2;CLSPN;POLD1;RAD51;RFC4;BRIP1;H2BC11;H2AX;RAD51AP1,up in tumor,24
gs_ind_0,TP53 Regulates Transcription Of Cell Cycle Genes R-HSA-6791312,12/48,0.0004406185061387464,0.009805921656225042,3.786789081551238,29.261773123636537,CCNA2;CCNB1;CDC25C;E2F1;ARID3A;CCNE2;AURKA;CCNE1;E2F8;E2F7;RBL1;CDK1,up in tumor,12
gs_ind_0,Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors R-HSA-629594,4/6,0.0006270369150141483,0.012939761791655605,19.849986387149468,146.38382670932324,CHRNA3;CHRNB4;CHRNB2;CHRNA5,up in tumor,4
gs_ind_0,Highly Calcium Permeable Nicotinic Acetylcholine Receptors R-HSA-629597,4/6,0.0006270369150141483,0.012939761791655605,19.849986387149468,146.38382670932324,CHRNA3;CHRNB4;CHRNB2;CHRNA5,up in tumor,4
gs_ind_0,Phosphorylation Of Emi1 R-HSA-176417,4/6,0.0006270369150141483,0.012939761791655605,19.849986387149468,146.38382670932324,CDK1;CDC20;CCNB1;PLK1,up in tumor,4
